t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
6.1370000000000005,-8.319344710247293,1.4541915441924913,19.646373709782004,-146.4588061258276,13.468749815027492,-381.3529810227033,-48.72344358142976,-84.4196380481278,-64.48890550273981,117.88921560301695,4.3625746325774735,936.1453719905139
4.239,-3.602189627218993,11.066412137494114,19.337064483434325,-179.91329820049614,-4.954155477614498,-415.9467291534733,-33.22728055336509,-37.31779311891949,-91.42946487018597,-34.07862690248783,33.19923641248234,680.4722428043901
9.8735,3.991588890221075,-1.564075196947025,19.90910352131252,92.12421748574693,-15.13143223739242,221.5740955115988,36.56757661406592,48.99103993059721,-59.33475153988818,-60.98488247461134,-4.692225590841075,-381.6303723723436
1.4505000000000001,-2.2576913267979766,-7.409488948088851,21.16179600247814,60.9260360007002,0.4993893051398829,116.04795538339773,9.408059787791458,-8.528454213131386,-39.7038224657028,95.8720576013724,-22.228466844266553,128.82479125247937
9.0485,2.3323435256493763,-0.8753994032188644,29.721760396182486,-28.477541394796784,2.347115306506215,-68.78221929900103,-60.5549706834792,-5.48745261604309,-81.30075057895468,54.49595270822901,-2.6261982096565935,-158.5804690185081
2.5865,-1.3114650127792482,-12.645588669568426,24.24969986766075,166.38400416988688,-41.10466556541909,344.8489226896853,53.04276760199511,48.8318668240032,-48.08242753095425,140.26772571703881,-37.93676600870528,586.2729370025181
2.3685,-6.444316450027506,-18.75042696824818,18.132545882150094,110.55043685976366,-30.06595541214902,134.44332099019104,-12.510668322443095,-14.77261451115459,72.47962485259147,229.44254045190095,-56.25128090474455,660.127658749491
0.145,0.36901341858323056,0.7840188181873748,0.07885571676470668,0.08236577258370394,0.2583241978287369,0.024029742889148477,4.232419768625147,9.260933886696169,0.0790289244364642,-0.14419013844888762,2.3520564545621245,-0.23380241685751796
9.484,-10.372629118988586,-16.013255703947912,22.14103819230485,20.260090595293697,-4.8287127919458195,2.4666230872472363,-36.14617525429957,-39.93086935764699,107.05605585716083,334.2900155289605,-48.03976711184374,423.9132087774817
2.471,-6.090304849514004,-17.708788608647243,24.7857725511102,139.3047139171508,-35.80479512660414,230.38563204154468,23.119876325818396,33.93795871583683,41.755701480217084,299.621292692471,-53.12636582594173,1148.9186340325282
2.6590000000000003,2.7580251909055513,-8.390920759147692,19.55612947104258,171.27895648857637,-43.426314229417095,357.9101619135588,59.789496988043936,75.10564261617432,-75.29270128905091,-7.185023741425198,-25.172762277443077,-229.5481703799196
9.1155,-0.566438084898089,-1.002861134380275,24.82136968196323,-24.96271868228041,2.156271607812558,-70.08242657033428,-29.32694917710227,-2.953907743380034,-65.62308779051426,49.855105638406215,-3.0085834031408245,81.21539702361076
9.266,-3.3976326747353416,-3.5869295421283756,17.22649974304355,-16.160217867121386,1.2995619812551251,-46.419563553648224,-18.053186541051726,-34.31702893343158,-33.75083785046539,77.95045870291116,-10.760788626385127,185.8116466009879
7.5135000000000005,11.845656895417074,17.79348390558914,17.97309644313216,15.780720109345536,-0.256042145762334,40.742374573783906,75.25899021106622,101.23781749826668,162.84664903483423,-335.58472240381906,53.380451716767425,-123.79534127049664
